GID_2,NAME_2,impact_feature_count,impact_area_km2,pop_exposed,pop_total
VEN.23.1_1,Vargas,28205,3.4640758239072875,198008.76780700684,347043.92401885986
VEN.11.1_1,Libertador,14352,2.0166224583429866,1319633.7758789062,1792160.4854431152
VEN.7.5_1,JuanJoséMora,7179,1.0050583167202491,41276.112323760986,72855.4299287796
VEN.16.19_1,Sucre,2507,0.3223127983429238,301778.123046875,547511.7515258789
VEN.7.12_1,PuertoCabello,2453,0.4509411272271783,87737.80351257324,160953.1096611023
VEN.16.3_1,Baruta,1488,0.22914032503460344,163199.40209960938,211487.291847229
VEN.7.15_1,Valencia,980,0.15132730833280242,326643.08181762695,809054.6147642136
VEN.24.14_1,Veroes,901,0.1000707666756645,3178.8824195861816,29644.768780708313
VEN.16.10_1,Guaicaipuro,786,0.1147357311946511,80220.16147232056,258716.87184906006
VEN.12.20_1,Silva,703,0.09198506636326467,7618.305188179016,29635.23150730133
VEN.4.10_1,OcumaredelaCostadeOro,663,0.08203374896520185,4587.522705078125,18103.184544563293
VEN.16.7_1,Chacao,662,0.252971236670998,37182.804931640625,47357.64402008057
VEN.4.16_1,Tovar,523,0.06278685938191528,5152.938869476318,12969.074608325958
VEN.16.9_1,ElHatillo,469,0.05890230630642257,36029.69909667969,73146.97129058838
VEN.4.4_1,Girardot,401,0.09951394094833978,129970.7738647461,362992.5440635681
VEN.16.21_1,Zamora,392,0.05827953691679639,72991.24634552002,201905.34439468384
VEN.12.15_1,MonseñorIturriza,383,0.04457665977035765,2385.2519466876984,16753.44744324684
VEN.16.6_1,Carrizal,352,0.07155814398217246,32893.91247558594,54189.2606048584
VEN.16.17_1,Plaza,341,0.054444904354873584,67645.48010253906,204380.23531723022
VEN.7.13_1,SanDiego,287,0.040391450732830875,66156.17016601562,133330.36332321167
VEN.24.9_1,Nirgua,284,0.03777525616233737,7723.5546107292175,59471.902777314186
VEN.7.9_1,Miranda,266,0.0616445316864902,8829.540084838867,31943.22583913803
VEN.7.14_1,SanJoaquín,241,0.02907285916402715,25903.325744628906,73062.87956047058
VEN.16.20_1,Urdaneta,240,0.022548374646490295,36472.35061645508,150533.27575302124
VEN.16.12_1,Lander,219,0.024614305906937715,33025.10037231445,163889.24610614777
VEN.7.6_1,LagoValencia,213,0.04504832028481273,2039.893325805664,9667.076740384102
VEN.7.4_1,Guacara,210,0.04374590938023288,52466.697509765625,182515.1063156128
VEN.7.1_1,Bejuma,206,0.023209147271886506,4348.498069763184,52056.21974182129
VEN.7.7_1,Libertador,197,0.02653916595878041,34681.00057220459,299654.75311279297
VEN.12.4_1,CaciqueManaure,174,0.014905325589166333,2113.675678253174,13071.448346138
VEN.4.18_1,Zamora,153,0.018533693373153196,14265.905712127686,148609.23206806183
VEN.7.11_1,Naguanagua,149,0.019571988630932038,40640.78894042969,163392.31889343262
VEN.7.8_1,LosGuayos,141,0.017817324196699885,51164.451416015625,149745.9518184662
VEN.4.7_1,JoséRRevenga,136,0.024740151121231867,9919.637996673584,49074.80392456055
